ID,Aktivität,Teil,n,Bezeichnung,Gruppe
1872,Verpacken,154103184,11,"1700 Sinus ST-NVS ""La Strada"" MobilPOWER Inverter SMI",3184
1873,Verpacken,2075,11,Fernbedienung S für Automatic Charger,2075
1874,Verpacken,2223,11,Schraubsicherung 60 A,2223
1875,Verpacken,3073,11,Battery Protector 40 Motor,3073
1876,Verpacken,3102,11,Pb 1225 SMT 2B Automatic Charger,3102
1877,Verpacken,5530,11,Tank Sensor FL,5530
1878,Verpacken,5741,11,VPC Terra,5741
1879,Verpacken,650451,11,SP1 Steuerung,0451
1880,Verpacken,BP-020,11,"Beipack-Beutel Kabelverschr. + Mutter PG7 2 Gummid., 2 Schrauben M5x20 M5x30, U.-Scheibe, Kabelschuh",
1881,Verpacken,0042,10,EQ-BCI Equipment Adapter,0042
1882,Verpacken,0054,10,Master Box VBS 2-400 mit Smart-Shunt 400A,0054
1883,Verpacken,0404,10,VAC 1215 M 3A Automatic Charger,0404
1884,Verpacken,0410,10,VAC 1230 M 3A Automatic Charger,0410
1885,Verpacken,0459,10,VAC 2425 M 3A Automatic Charger,0459
1886,Verpacken,0631,10,VAC 1220/30 Duo Automatic Charger,0631
1887,Verpacken,0648,10,VAC 1225/50 Duo Automatic Charger,0648
1888,Verpacken,110103184,10,"1700 Sinus ST-NVS ""CS"" MobilPOWER Inverter SMI",3184
1889,Verpacken,1247,10,LCD-Charge Control S,1247
1890,Verpacken,130101611,10,Regulator Solar Panel 50W-110W SR140 Sunset Solar,1611
1891,Verpacken,2033,10,Modular-Kabel 8-pol. 3 mtr.,2033
1892,Verpacken,2213,10,Kabel-Sicherungshalter IP56,2213
1893,Verpacken,2251,10,Hochlast-Sicherungshalter mit Deckel,2251
1894,Verpacken,3125,10,Pb 1250 SMT 3B Automatic Charger,3125
1895,Verpacken,3183,10,SMI 1700 Sinus ST MobilPOWER Inverter,3183
1896,Verpacken,0484,9,VAC 1230 F 2A II Automatic Charger DIN 14679:2024-02,0484
1897,Verpacken,057405545,9,Tankelektrode 95 K-FL KÄRCHER mit Steckverteiler,5545
1898,Verpacken,109100052,9,Master Box VBS 2-200 (bimobil) mit 200A-Shunt,0052
1899,Verpacken,111102136,9,Verlängerungskabel Tanksonde (Schell),2136
1900,Verpacken,111105814,9,Zentralelektrik VZE-XL(Schell),5814
1901,Verpacken,114205771,9,Titan VBS 2 (ROBEL 3 Tanks) Anzeige- und Steuerpanel,5771
1902,Verpacken,2072,9,Switch Unit 100,2072
1903,Verpacken,2202,9,Umschalt-Relais 12V/60 A,2202
1904,Verpacken,2221,9,Schraubsicherung 40 A,2221
1905,Verpacken,3078,9,Battery Protector 100,3078
1906,Verpacken,3178,9,SMI 1200 Sinus ST-NVS MobilPOWER Inverter,3178
1907,Verpacken,3336,9,DCDC 1212-45 DC/DC-Wandler,3336
1908,Verpacken,670634T,9,VAC 1230/30 Duo (T) Automatic Charger,0634
1909,Verpacken,0090,8,ELV 14/1 Elektro-Verteilung,0090
1910,Verpacken,067103100T,8,Pb 1215 SMT 2B (T) Automatic Charger,3100
1911,Verpacken,067200659,8,VAC 1220/40 Duo Li (T) Automatic Charger,0659
1912,Verpacken,102300242,8,LED Tank Display HE 010 Sonderausführung,0242
1913,Verpacken,2065,8,Control Unit,2065
1914,Verpacken,2067,8,Zusatz-Fernbedienung SMI für Sinus-Inverter,2067
1915,Verpacken,2218,8,Hochlast-Sicherungshalter mit Deckel,2218
1916,Verpacken,2323,8,Ladestecker nach DIN 14690,2323
1917,Verpacken,3272,8,VBCS 60/40/800 Triple HV CI Battery Charger,3272
1918,Verpacken,5315,8,Fäkaltankanzeige S,5315
1919,Verpacken,5793,8,Smart Shunt 400 A inkl. Masseband 75 mm²,5793
1920,Verpacken,650453,8,SP1-FA-LT Leistungsteil Füllstandanzeige,0453
1921,Verpacken,650454,8,SP1-FA Füllstandsanzeige,0454
1922,Verpacken,0482,7,VAC 1250 F 3A Automatic Charger,0482
1923,Verpacken,0498c,7,VAC 2440 Fc 2A FireCAN Automatic Charger,
1924,Verpacken,0628,7,VAC 1215/30 Duo NSF Automatic Charger,0628
1925,Verpacken,0696,7,PFPN 1204 Fc DIN14679:2024-02 TS-Battery Charger,0696
1926,Verpacken,110105771,7,Titan VBS 2 (CS) Anzeige- und Steuerpanel,5771
1927,Verpacken,111100054,7,Master Box VBS 2-400 (Schell) mit 400A-Shunt,0054
1928,Verpacken,125103272,7,VBCS 60/40/430 Triple HV CI Battery Charger KABE,3272
1929,Verpacken,1289,7,Schalter-Panel 16 A S,1289
1930,Verpacken,1291,7,Schalter-Panel 2 x 16 A S,1291
1931,Verpacken,139305545,7,Tankelektrode 15-50 K Promens Frischwasser,5545
1932,Verpacken,139405545,7,Tankelektrode 15-50 K Promens Abwasser,5545
1933,Verpacken,150100242,7,LED Tank Display HE 010 Müller Umwelt,0242
1934,Verpacken,2112,7,Piktogramm-Folie schwarz,2112
1935,Verpacken,2135,7,Zuleitung AMP4WE3 5m lang,2135
1936,Verpacken,2219,7,Schraubsicherung 30 A,2219
1937,Verpacken,2226,7,Schraubsicherung 100 A,2226
1938,Verpacken,5749,7,VPC Jupiter 400,5749
1939,Verpacken,6075,7,Battery Protector 40/24,6075
1940,Verpacken,BP-005,7,"Beipack-Beutel 4x Spax 3x12 Senkkopf 2x Flachst.hülse 6,3x0,8 blau",
1941,Verpacken,BP-010,7,"Beipack-Beutel 4x Spax 3x12 Senkkopf Flachsteckhülse 6,3x0,8 blau 2x Flachst.hülse 6,3x0,8 gelb",
1942,Verpacken,BP-019,7,Beipack-Beutel 4x Spax 3x12 Senkkopf schwarz,
1943,Verpacken,BP-024,7,"Beipack-Beutel 2 Flachsteckhülse 6,3x0,8 blau",
1944,Verpacken,0085,6,"Bus Adapter SF/CI inkl. Modularkabel 6pol. 0,5 m",0085
1945,Verpacken,0244,6,LED Tank Display HE 420,0244
1946,Verpacken,0467,6,VAC 2440 M 2A Automatic Charger,0467
1947,Verpacken,0487,6,VAC 1280 F 2A Automatic Charger,0487
1948,Verpacken,111100091,6,ELV 24/5 (Schell) Elektro-Verteilung,0091
1949,Verpacken,116103242,6,VBCS 30/20/250 Triple (Tischer Battery Charger,3242
1950,Verpacken,125101712,6,MPP 170 CI Kabe Solar-Regler,1712
1951,Verpacken,125105545,6,Tankelektrode 15-50 K Kabe,5545
1952,Verpacken,147101730,6,MPP 440 CI WESTFALIA Solar-Regler,1730
1953,Verpacken,1723,6,MPPT 360 CI Solar-Regler,1723
1954,Verpacken,1731,6,MPPT 440 CI Solar-Regler,1731
1955,Verpacken,2029,6,"Modular-Kabel 8-pol. 0,5 mtr.",2029
1956,Verpacken,2031,6,Modular-Kabel 8-pol. 1 mtr.,2031
1957,Verpacken,2071,6,Switch Unit 40,2071
1958,Verpacken,2078,6,Fernanzeige S nur für Automatic Char Duo,2078
1959,Verpacken,2305,6,Spiral-Anschlusskabel 230 V,2305
1960,Verpacken,2319,6,"Spiralkabel 5 m, hochflexibel mit Ladestecker",2319
1961,Verpacken,3131,6,Pb 1280 SMT 2B Automatic Charger,3131
1962,Verpacken,3208,6,Minus-Distributor 12,3208
1963,Verpacken,3303,6,VCC 2424-25 IUoU Lade-Wandler,3303
1964,Verpacken,3305,6,VCC 2412-45 IUoU-Li Lade-Wandler,3305
1965,Verpacken,5549,6,Tankelektrode 25-75 K nach DIN2001-2 für Trinkwasser geeignet,5549
1966,Verpacken,BP-009,6,"Beipack-Beutel 4x Spax 3x12 Senkkopf 6x Flachst.hülse 4,8x0,8 blau",
1967,Verpacken,BP-014,6,"Beipack-Beutel 1x Klemme 9pol, 1x Klemme 4pol",
1968,Verpacken,BP-016,6,"Beipack-Beutel 4x Spax 3x12 Senkkopf 12x Flachsteckh. 4,8x0,8mm bl",
1969,Verpacken,BP-040,6,Beipack-Beutel Elektro-Verteilung VZE-Schell 19 Federkraftstecker + Sicherungsadapter + Si. zieher,
1970,Verpacken,0043,5,EQ-S Equipment Adapter,0043
1971,Verpacken,024100465,5,VAC 2416 F 2A Automatic Charger DIN 14679:2024-02,0465
1972,Verpacken,0408,5,VAC 1225 M 3A Automatic Charger,0408
1973,Verpacken,044100247,5,LED Tank Display Sonder 5V Fischer,0247
1974,Verpacken,110746,5,RME-Schaltbox Zubringer-Pumpe,0746
1975,Verpacken,111105831,5,VZE Triton (Schell),5831
1976,Verpacken,1256,5,LCD-Voltmeter S,1256
1977,Verpacken,1263,5,LCD-Batterie-Computer 100 S mit Smart-Shunt 100A,1263
1978,Verpacken,1713,5,MPPT 170 CI Solar-Regler,1713
1979,Verpacken,1718,5,MPPT 260 CI Solar-Regler,1718
1980,Verpacken,2000,5,Einzelsensor für Tank-Sensor FL & 30-110 K-FL,2000
1981,Verpacken,2008,5,Modular-Kabel 6-pol. 5 mtr.,2008
1982,Verpacken,2024,5,Aufbaugehäuse Kunstst. silber für LCD-Geräteserie S,2024
1983,Verpacken,2243,5,Streifensicherung 30A (VPE 3 St.),2243
1984,Verpacken,2245,5,Streifensicherung 50A (VPE 3 St.),2245
1985,Verpacken,2254,5,Hochlast-Sicherung 125 A,2254
1986,Verpacken,2255,5,Hochlast-Sicherung 150 A,2255
1987,Verpacken,2262,5,Hochstromkabel 25 mm² 40 cm lang,2262
1988,Verpacken,2315,5,Automatik Kabelaufroller 5 m,2315
1989,Verpacken,3156,5,SMI 300 Sinus NVS MobilPOWER Inverter,3156
1990,Verpacken,3270,5,VBCS 30/20/400 Triple HV CI Battery Charger,3270
1991,Verpacken,3271,5,VBCS 45/30/600 Triple HV CI Battery Charger,3271
1992,Verpacken,3351,5,VCC 1212-45 IUoU-Li Lade-Wandler,3351
1993,Verpacken,3361,5,VCC 1212-50 CI Lade-Wandler,3361
1994,Verpacken,3362,5,VCC 1212-70 CI Lade-Wandler,3362
1995,Verpacken,5555,5,Tankelektrode 20 K-WC,5555
1996,Verpacken,5783,5,Smart Shunt 200 A inkl. Masseband 35 mm²,5783
1997,Verpacken,5805,5,Smart Shunt CI 200 A,5805
1998,Verpacken,5810,5,Zentralelektrik VZE-M,5810
1999,Verpacken,5830,5,VZE Sirius CI Display  - PROTOTYP! KEIN VERKAUF! -,5830
2000,Verpacken,5831,5,VZE Triton CI,5831
2001,Verpacken,5832,5,VZE Sirius IO  - PROTOTYP! KEIN VERKAUF! -,5832
2002,Verpacken,6232,5,Pb 2416 SMT 2B Automatic Charger,6232
2003,Verpacken,6250,5,Pb 2440 SMT 2B Automatic Charger,6250
2004,Verpacken,BP-037,5,"Beipack-Beutel 1x XLR-Buchse, 8x Blechschraube 2,9x13 1x Bef.flansch, 1x Kab.schelle",
2005,Verpacken,BP-043,5,Beipack-Beutel Sirius IO,
2006,Verpacken,0060,4,WLAN- Interface VBS 2,0060
2007,Verpacken,0427,4,VAC 1250 M 3A Automatic Charger,0427
2008,Verpacken,0452,4,VAC 2416 M 3A Automatic Charger,0452
2009,Verpacken,0485,4,VAC 2416 F 2A II Automatic Charger DIN 14679:2024-02,0485
2010,Verpacken,0523,4,VAC 1224-16 Station mit SK Automatic Charger,0523
2011,Verpacken,0533,4,VAC 1224-16 Station mit ÖK Automatic Charger,0533
2012,Verpacken,0632,4,VAC 1220/30 Duo NSF Automatic Charger,0632
2013,Verpacken,0633,4,VAC 1220/40 Duo NSF Automatic Charger,0633
2014,Verpacken,0666,4,VAC 60-15/30 Triple CI Battery Charger,0666
2015,Verpacken,087100485,4,VAC 2416 F 2A II ohne Netzanschlusskabel,0485
2016,Verpacken,092100242,4,LED Tank Display HE 010,0242
2017,Verpacken,109100054,4,Master Box VBS 2-400 (bimobil) mit 400A-Shunt,0054
2018,Verpacken,111100035,4,Master Panel VBS 2 (Schell),0035
2019,Verpacken,115105301,4,Comet FTA 5 Frischwassertankanzeige,5301
2020,Verpacken,1245,4,Duo-Akku-Tester S,1245
2021,Verpacken,1248,4,LCD-Charge Control S-VCC,1248
2022,Verpacken,125105543,4,Tankelektrode 12-24 K Kabe,5543
2023,Verpacken,1253,4,LCD-Thermometer/Uhr S,1253
2024,Verpacken,128100035,4,Master Panel VBS 2 (Dopfer) Anzeige- und Steuerpanel,0035
2025,Verpacken,1285,4,Sicherungs-Panel 4 S,1285
2026,Verpacken,131101250,4,LCD Solar-Computer S Typ Hymer,1250
2027,Verpacken,143100695,4,TS-Battery Charger PFPN 1204 Sonderausführung MAGIRUS DIN14679:2024-02,0695
2028,Verpacken,1440,4,Solar Data Extender 3n1,1440
2029,Verpacken,155101204,4,LCD SOC Monitor S BOS,1204
2030,Verpacken,1621,4,SR 350 Duo Dig. Solar-Regler,1621
2031,Verpacken,2005,4,Steuerleitung 5 m lang,2005
2032,Verpacken,2066,4,Gehäuseabdeckung SMI für FB Sinus-Inverter,2066
2033,Verpacken,2222,4,Schraubsicherung 50 A,2222
2034,Verpacken,2225,4,Schraubsicherung 80 A,2225
2035,Verpacken,2246,4,Streifensicherung 60A (VPE 3 St.),2246
2036,Verpacken,2247,4,Streifensicherung 80A (VPE 3 St.),2247
2037,Verpacken,2253,4,Hochlast-Sicherung 100 A,2253
2038,Verpacken,2331,4,Ladestecker,2331
2039,Verpacken,2333,4,Ladesteckdose mit Klappdeckel,2333
2040,Verpacken,3084,4,Battery Protector 300,3084
2041,Verpacken,3157,4,SMI 600 Sinus MobilPOWER Inverter,3157
2042,Verpacken,3218,4,Minus-Distributor 14,3218
2043,Verpacken,5747,4,VPC Jupiter 100,5747
2044,Verpacken,5800,4,LCD Energy Monitor CI Display,5800
2045,Verpacken,650455,4,SP1 Relais-Box,0455
2046,Verpacken,650459,4,SP1 Anschlusskabel an Relais-Box,0459
2047,Verpacken,696021,4,Duo-Akku-Tester S 24V,6021
2048,Verpacken,999203324,4,VCC 1212-30 unverpackt Lade-Wandler,3324
2049,Verpacken,BP-021,4,"Beipack-Beutel 2x Rohrkabelschuh 16qmm 2 Kombischr. M5x10, 2 Scheiben",
2050,Verpacken,017203098,3,MT BCB-40/40 IUOU Battery-Control-Booster,3098
2051,Verpacken,0413,3,VAC 1240 M 3A Automatic Charger,0413
2052,Verpacken,0465,3,VAC 2416 F 2A Automatic Charger DIN 14679:2024-02,0465
2053,Verpacken,0471,3,VAC 1215 F 3A II Automatic Charger,0471
2054,Verpacken,0496c,3,VAC 2425 Fc 2A FireCAN Automatic Charger,
2055,Verpacken,0538,3,VAC 1215 Station mit ÖK Automatic Charger,0538
2056,Verpacken,0627,3,VAC 1215/30 Duo Automatic Charger,0627
2057,Verpacken,067100659,3,VAC 1220/40 Duo Li (115V) (T) Automatic Charger,0659
2058,Verpacken,092200242,3,LED Tank Display HE 010,0242
2059,Verpacken,099103101,3,Pb 1220 SMT 2B Automatic Charger,3101
2060,Verpacken,111100047,3,RS232 Interface VBS 2 (Schell),0047
2061,Verpacken,125101722,3,MPP 360 CI Kabe Solar-Regler,1722
2062,Verpacken,1260,3,Anzeige LCD-Batterie-Computer mit Steuerleitung 5m,1260
2063,Verpacken,128100052,3,Master Box VBS 2-200 (Dopfer) mit 200A-Shunt,0052
2064,Verpacken,129103324,3,VCC 1212-30 NUTS Lade-Wandler,3324
2065,Verpacken,1297,3,USB-Lader-Panel S,1297
2066,Verpacken,131101204,3,LCD SOC Monitor S Typ Hymer,1204
2067,Verpacken,151100463,3,VAC 1215 F 2A Endress Automatic Charger DIN 14679:2024-02,0463
2068,Verpacken,158101003,3,Clesana Power-Management,1003
2069,Verpacken,161105543,3,Tankelektrode 12-24 K LAIKA 5  - PROTOTYP! KEIN VERKAUF! - nach DIN2001-2 für Trinkwasser geeignet,5543
2070,Verpacken,2016,3,Montagerahmen S für Anzeigeteil Inverter,2016
2071,Verpacken,2019,3,Frontplatten-Blende S 85x47 mm,2019
2072,Verpacken,2032,3,Modular-Kabel 8-pol. 2 mtr.,2032
2073,Verpacken,2037,3,Modular-Kabel 8-pol. 10 mtr.,2037
2074,Verpacken,2200,3,Trenn-Relais 12V/70A,2200
2075,Verpacken,2258,3,Hochlast-Sicherung 225 A,2258
2076,Verpacken,2268,3,Kabelsatz rot/schwarz 25mm² 1m,2268
2077,Verpacken,2269,3,Kabelsatz rot/schwarz 35mm² 1m,2269
2078,Verpacken,2303,3,Einbaukabel 230 V,2303
2079,Verpacken,2318,3,"Spiralkabel 5 m, hochflexibel",2318
2080,Verpacken,2325,3,Ladesteckdose nach DIN 14690,2325
2081,Verpacken,3318,3,VCC 2424-25 Li Lade-Wandler,3318
2082,Verpacken,3342,3,DCDC 2412-25 DC/DC-Wandler,3342
2083,Verpacken,3343,3,VCC 1224-25 IUoU Lade-Wandler,3343
2084,Verpacken,3360,3,VCC 1212-30 CI Lade-Wandler,3360
2085,Verpacken,5771,3,Titan VBS 2 Anzeige- und Steuerpanel,5771
2086,Verpacken,5804,3,Smart Shunt CI 100 A,5804
2087,Verpacken,6239,3,Pb 2425 SMT 3B Automatic Charger,6239
2088,Verpacken,670627T,3,VAC 1215/30 Duo (115V) (T) UK Aut.Charger mit Englandstecker,0627
2089,Verpacken,82101253,3,LCD-Thermometer/Uhr S,1253
2090,Verpacken,999102088,3,Temperatur-Sensor 625 f. Schraubbolzen M6 unverpackt,2088
2091,Verpacken,BP-003,3,"Beipack-Beutel 4x Spax 3x12 Senkkopf 8x Flachst.hülse 6,3x0,8 blau",
2092,Verpacken,BP-011,3,"Beipack-Beutel 2x Blechschr. 2,9x9,5 schwarz",
2093,Verpacken,BP-022,3,"Beipack-Beutel 2x Rohrkabelschuh 16qmm 2 Kombischr. M5x10, 2 Scheiben Streifensich. 40A, 50A, 60A",
2094,Verpacken,PA-VAF01d-109-00448,3,Baugruppe geprüft VAC 2416 M 3A,
2095,Verpacken,PA-VAF01d-114-00467,3,Baugruppe geprüft Pb 1220 SMT 2B (Audi),
2096,Verpacken,0076,2,Dimmer Module 4,0076
2097,Verpacken,0462,2,VAC 2430 M 3A/110VAC Automatic Charger,0462
2098,Verpacken,0470,2,VAC 1215 F 3A Automatic Charger,0470
2099,Verpacken,0477,2,VAC 1230 F 3A II Automatic Charger,0477
2100,Verpacken,0495,2,VAC 2416 F 3A II Automatic Charger,0495
2101,Verpacken,0528,2,VAC 1215 Station mit SK Automatic Charger,0528
2102,Verpacken,0634,2,VAC 1220/40 Duo Automatic Charger,0634
2103,Verpacken,0636,2,VAC 1215/40 Duo Automatic Charger,0636
2104,Verpacken,0642,2,VAC 1230/30 Duo Automatic Charger,0642
2105,Verpacken,067300659,2,VAC 1220/40 Duo Li (115V) (T) Automatic Charger,0659
2106,Verpacken,087100477,2,VAC 1230 F 3A II Automatic Charger,0477
2107,Verpacken,087100484,2,VAC 1230 F 2A II Automatic Charger DIN 14679:2024-02,0484
2108,Verpacken,109103343,2,VCC 1224-7 IUoU Lade-Wandler Bimobil,3343
2109,Verpacken,125205545,2,Tankelektrode 15-50 K Kabe,5545
2110,Verpacken,1293,2,Steckdosen-Panel S,1293
2111,Verpacken,131101715,2,MPP 250 Duo Dig. (HYMER) Solar-Regler,1715
2112,Verpacken,157100664,2,VAC 45-10/25 Triple CI FRANKIA Battery Charger,0664
2113,Verpacken,157103124,2,Pb 1240 SMT 3B FRANKIA Automatic Charger,3124
2114,Verpacken,157103329,2,VCC 1212-90 FRANKIA Lade-Wandler,3329
2115,Verpacken,161105545,2,Tankelektrode 15-50 K LAIKA 1  - PROTOTYP! KEIN VERKAUF! - nach DIN2001-2 für Trinkwasser geeignet,5545
2116,Verpacken,161205545,2,Tankelektrode 15-50 K LAIKA 2  - PROTOTYP! KEIN VERKAUF! - nach DIN2001-2 für Trinkwasser geeignet,5545
2117,Verpacken,161405545,2,Tankelektrode 15-50 K LAIKA 4  - PROTOTYP! KEIN VERKAUF! - nach DIN2001-2 für Trinkwasser geeignet,5545
2118,Verpacken,1626,2,SR 550 Duo Dig. Solar-Regler,1626
2119,Verpacken,2023,2,Abdeckung für Smart-Shunt,2023
2120,Verpacken,2035,2,Modular-Kabel 8-pol. 5 mtr.,2035
2121,Verpacken,2076,2,LED Remote Control S,2076
2122,Verpacken,2089,2,Temperatur-Sensor 1025 für Schraubbolzen M10,2089
2123,Verpacken,2244,2,Streifensicherung 40A (VPE 3 St.),2244
2124,Verpacken,2256,2,Hochlast-Sicherung 175 A,2256
2125,Verpacken,2263,2,Hochstromkabel 35 mm² 40 cm lang,2263
2126,Verpacken,2272,2,Kabelsatz rot/schwarz 25mm² 2m,2272
2127,Verpacken,2273,2,Kabelsatz rot/schwarz 35mm² 2m,2273
2128,Verpacken,2307,2,Schuko-Anschlusskabel 230 V,2307
2129,Verpacken,2317,2,"Spiral-Ladekabel 2m, 2-adrig max. 4A",2317
2130,Verpacken,3069,2,Crash-Sensor CS1,3069
2131,Verpacken,3215,2,Plus-Distributor 8,3215
2132,Verpacken,3304,2,VCC 2412-25 IUoU-Li Lade-Wandler,3304
2133,Verpacken,3320,2,VCC 2412-45 Li Lade-Wandler,3320
2134,Verpacken,3341,2,DCDC 1224-25 DC/DC-Wandler,3341
2135,Verpacken,3350,2,VCC 1212-25 IUoU-Li Lade-Wandler,3350
2136,Verpacken,3363,2,VCC 1212-90 CI Lade-Wandler,3363
2137,Verpacken,5740,2,Anzeige VPC Jupiter mit Steuerleitung 5m,5740
2138,Verpacken,5801,2,LCD Energy Monitor CI mit Smart-Shunt CI 100A mit Masseband 25 mm²,5801
2139,Verpacken,5802,2,LCD Energy Monitor CI mit Smart-Shunt CI 200A mit Masseband 35 mm²,5802
2140,Verpacken,5803,2,LCD Energy Monitor CI mit Smart-Shunt CI 400A mit Masseband 75 mm²,5803
2141,Verpacken,5813,2,Platzhalter War Smart Shunt CI 400 A  - PROTOTYP! KEIN VERKAUF! -,5813
2142,Verpacken,6065,2,StandBy Charger 24V,6065
2143,Verpacken,6073,2,Battery Protector 40/24 Motor,6073
2144,Verpacken,650461,2,SP1-FA Füllstandanzeige Abgesetzte Anzeige Tropfen,0461
2145,Verpacken,720368,2,3PhW-24/10 A 3-Phasen-Wechselrichter,0368
2146,Verpacken,999105549,2,Tankelektrode 25-75 K unverpackt nach DIN2001-2 für Trinkwasser geeignet,5549
2147,Verpacken,BP-023,2,"Beipack-Beutel 2 Kabelbinder 160x2,5mm 4 Kabelbinder 360x4,5mm 2 Spax 4,0x35, 2 Dübel 6mm",
2148,Verpacken,0089,1,ELV 14/1 Komp. für Kompressor-Kühlschränke,0089
2149,Verpacken,0091,1,ELV 24/5 Elektro-Verteilung,0091
2150,Verpacken,017105783,1,MT Smart-Shunt 200 A verpackt inkl. Masseband 35 mm,5783
2151,Verpacken,017202067,1,Fernbedienung MT-Inverter unverpackt ohne Zubehör,2067
2152,Verpacken,024100494,1,VAC 2416 F 3A Automatic Charger,0494
2153,Verpacken,0439,1,VAC 1280 M 2A Automatic Charger,0439
2154,Verpacken,046205708,1,Reimo Checkpanel 714 mit USB A/C,5708
2155,Verpacken,0476,1,VAC 1230 F 3A Automatic Charger,0476
2156,Verpacken,0544,1,VAC 2416 Station mit SK Automatic Charger,0544
2157,Verpacken,0548,1,VAC 2416 Station mit ÖK Automatic Charger,0548
2158,Verpacken,055303078,1,Battery Protector 100,3078
2159,Verpacken,065200454,1,SP1-FA Füllstandsanzeige,0454
2160,Verpacken,067100654,1,VAC 1215/30 Duo Li (115V) (T) Automatic Charger,0654
2161,Verpacken,106102152,1,RCBO 10-30 (HRZ) Fehlerstromschutzeinrichtung,2152
2162,Verpacken,106105771,1,Titan VBS 2 (H.R.Z.) Anzeige- und Steuerpanel,5771
2163,Verpacken,110205771,1,Titan VBS 2 (CS) Schwarz Anzeige- und Steuerpanel,5771
2164,Verpacken,110736,1,RMC Steuergerät,0736
2165,Verpacken,110913,1,Steuergerät TEO dig. komplett ohne Frontfolie & Alarmrelais,0913
2166,Verpacken,110915,1,Steuergerät TEO dig. Platine ohne Steck-Schraubklemmen,0915
2167,Verpacken,110923,1,Hybrid-Steuergerät TEO digital mit Alarm-Relais,0923
2168,Verpacken,110930,1,Einspeise-Automatik TEA,0930
2169,Verpacken,111205814,1,Zentralelektrik VZE-XL 6A (Schell),5814
2170,Verpacken,116103270,1,VBCS 30/20/400 Triple HV CI Battery Charger TISCHER,3270
2171,Verpacken,116103271,1,VBCS 45/30/600 Triple HV CI Battery Charger TISCHER,3271
2172,Verpacken,11611,1,SR 150 Duo Dig. Solar-Regler MARINE-Version,1611
2173,Verpacken,11712,1,MPP 170 CI Solar-Regler MARINE-Version,1712
2174,Verpacken,11717,1,MPP 260 CI Solar-Regler MARINE-Version,1717
2175,Verpacken,11730,1,MPP 440 CI Solar-Regler MARINE-Version,1730
2176,Verpacken,119760,1,RWS 5V Dig. Zisternen-Geber,9760
2177,Verpacken,125203272,1,VBCS 60/40/800 Triple HV CI Battery Charger KABE,3272
2178,Verpacken,128100054,1,Master Box VBS 2-400 (Dopfer) mit 400A-Shunt,0054
2179,Verpacken,1298,1,USB A/C-Lader-Panel S,1298
2180,Verpacken,131100085,1,"Bus Adapter SF/CI inkl. Modularkabel 6pol. 0,12 inkl. Y-Adapter",0085
2181,Verpacken,156303324,1,VCC 1212-30 CAR ELECTRIC 2 Lade-Wandler,3324
2182,Verpacken,161305545,1,Tankelektrode 15-50 K LAIKA 3  - PROTOTYP! KEIN VERKAUF! - nach DIN2001-2 für Trinkwasser geeignet,5545
2183,Verpacken,1710,1,MPP 165 Duo Dig. Solar-Regler Auslaufartikel,1710
2184,Verpacken,1715,1,MPP 250 Duo Dig. Solar-Regler Auslaufartikel,1715
2185,Verpacken,2009,1,Modular-Kabel 6-pol. 1 mtr.,2009
2186,Verpacken,2039,1,Modular-Kabel-Verbinder 8-pol.,2039
2187,Verpacken,2040,1,"Y-Adapter mit 0,12m Modularkabel 6pol.",2040
2188,Verpacken,2081,1,Betriebs-Fernanzeige IP67,2081
2189,Verpacken,2153,1,RCBO Kombi Fehlerstromschutzeinrichtung,2153
2190,Verpacken,2154,1,RCBO Typ 2P Fehlerstromschutzeinrichtung,2154
2191,Verpacken,2227,1,Schraubsicherung 125 A,2227
2192,Verpacken,2228,1,Schraubsicherung 150 A,2228
2193,Verpacken,2230,1,Schraubsicherung 200 A,2230
2194,Verpacken,3185,1,SMI 3000 Sinus ST-NVS MobilPOWER Inverter  - Muster! KEIN VERKAUF -,3185
2195,Verpacken,3338,1,DCDC 2412-45 DC/DC-Wandler,3338
2196,Verpacken,3352,1,VCC 1212-45 Li Lade-Wandler,3352
2197,Verpacken,5548,1,Tankelektrode 12-24 K 80 AMP nach DIN2001-2 für Trinkwasser geeignet,5548
2198,Verpacken,5744,1,VPC Merkur,5744
2199,Verpacken,5773,1,Smart Shunt 100 A inkl. Masseband 25 mm²,5773
2200,Verpacken,5811,1,Platzhalter War Smart Shunt CI 100 A  - PROTOTYP! KEIN VERKAUF! -,5811
2201,Verpacken,5835,1,"VZE Sirius, Sirius IO Smart Shunt CI 200A mit Masseband 35 mm²  - PROTOTYP - KEIN VERKAUF -",5835
2202,Verpacken,650456,1,SP1-FB-LT Leistungsteil Fernbedienung,0456
2203,Verpacken,650457,1,SP1-FB Fernbedienung,0457
2204,Verpacken,650462,1,SP1-FA Füllstandanzeige Steuerung für abgesetzte Anzei,0462
2205,Verpacken,720362,1,3PhW-24ALU 3-Phasen-Wechselrichter,0362
2206,Verpacken,9226,1,RWS Digital Plus Zisternen-Steuergerät,9226
2207,Verpacken,9760,1,RWS 5V Dig. Zisternen-Geber,9760
2208,Verpacken,999100085,1,"Bus Adapter SF/CI inkl. Modularkabel 6pol. 0,5 m",0085
2209,Verpacken,999103066,1,D+ Simulator (unverpackt),3066
2210,Verpacken,999200085,1,"Bus Adapter SF/CI inkl. Modularkabel 6pol. 0,5 m",0085
2211,Verpacken,BP-026,1,"Beipack-Beutel 4x Blechschr. 2,9x16",
