Teil;TA;Bezeichnung1;Bezeichnung2;Bezeichnung3;Bezeichnung4;RMNr;Aktivität;rMenge;Sollte;Istte;ZEte;IstteSek;Solltr;Isttr;ZEtr;Zustand;Isttesn;IstteSollte;IsttrSolltr
0052;9;Master Box VBS 2-200;mit Smart-Shunt 200A;;;55902;Verpacken;20;2.400,00;2.449,00;Sek;2449;10;10;Min;nein;122,5;102%;100%
0052;9;Master Box VBS 2-200;mit Smart-Shunt 200A;;;56341;Verpacken;20;2.400,00;2.833,00;Sek;2833;10;10;Min;nein;141,7;118%;100%
0052;9;Master Box VBS 2-200;mit Smart-Shunt 200A;;;59346;Verpacken;8;960;798;Sek;798;10;10;Min;nein;99,8;83%;100%
0052;9;Master Box VBS 2-200;mit Smart-Shunt 200A;;;59430;Verpacken;30;3.600,00;61.205,00;Sek;61205;10;10;Min;nein;2040,2;1700%;100%
0052;9;Master Box VBS 2-200;mit Smart-Shunt 200A;;;60272;Verpacken;2;240;208;Sek;208;10;10;Min;nein;104,0;87%;100%
0052;9;Master Box VBS 2-200;mit Smart-Shunt 200A;;;61606;Verpacken;1;120;0;Sek;0;10;8;Min;nein;0,0;0%;80%
0052;9;Master Box VBS 2-200;mit Smart-Shunt 200A;;;43010;Verpacken;25;3.000,00;7.347,00;Sek;7347;0;0;Min;nein;293,9;245%;#DIV/0!
0054;9;Master Box VBS 2-400;mit Smart-Shunt 400A;;;47106;Verpacken;40;4.800,00;4.981,00;Sek;4981;10;10;Min;nein;124,5;104%;100%
0054;9;Master Box VBS 2-400;mit Smart-Shunt 400A;;;47652;Verpacken;5;600;227;Sek;227;10;10;Min;nein;45,4;38%;100%
0054;9;Master Box VBS 2-400;mit Smart-Shunt 400A;;;48873;Verpacken;5;600;499;Sek;499;10;10;Min;nein;99,8;83%;100%
0054;9;Master Box VBS 2-400;mit Smart-Shunt 400A;;;51458;Verpacken;5;600;52;Sek;52;10;10;Min;nein;10,4;9%;100%
