Teil,TA,Bezeichnung,Aktivität,RMNr,rMenge,Sollte,IstteSek,Solltrsek,Isttrsek,Zustand,tges
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,65720,40,40,0,600,12.0,false,12.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,66037,32,32,0,600,12.0,false,12.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,66038,28,28,0,600,12.0,false,12.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,66301,32,32,0,600,12.0,false,12.0
02-0038b,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ14,Bauteil schneiden,66792,40,40,0,600,84.0,false,84.0
02-0038c,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ13,Bauteil schneiden,47340,100,100,0,600,12.0,false,12.0
02-0038c,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ13,Bauteil schneiden,47760,20,20,0,600,18.0,false,18.0
02-0038c,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ13,Bauteil schneiden,47933,40,40,0,600,24.0,false,24.0
02-0038c,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ13,Bauteil schneiden,48453,200,200,0,600,30.0,false,30.0
02-0038c,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ13,Bauteil schneiden,48815,140,140,0,600,18.0,false,18.0
02-0038c,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ13,Bauteil schneiden,49639,1,1,0,600,18.0,false,18.0
02-0038c,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ13,Bauteil schneiden,50595,498,498,12,600,0.0,false,12.0
02-0038c,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ13,Bauteil schneiden,53788,1000,1000,903,600,0.0,false,903.0
02-0038c,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ13,Bauteil schneiden,63374,500,500,642,600,0.0,false,642.0
02-0038c,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ13,Bauteil schneiden,43427,100,100,15,0,0.0,false,15.0
02-0038c,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ13,Bauteil schneiden,43429,13,13,12,0,0.0,false,12.0
02-0038c,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ13,Bauteil schneiden,44506,100,100,21,0,0.0,false,21.0
02-0038c,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ13,Bauteil schneiden,44507,20,20,19,0,0.0,false,19.0
02-0038c,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ13,Bauteil schneiden,45846,100,100,29,0,0.0,false,29.0
02-0038c,1,IC THT linear Spannungsregler MC7805 CTG geschnitten MZ-TO220-Typ13,Bauteil schneiden,46190,200,200,1027,0,0.0,false,1027.0
02-0040a,1,"IC THT linear Spannungsregler TL317CLP/LM317LZ MZ-Transistor-2 Werkzeug W047 5,5mm",Bauteil schneiden,51579,1999,3998,0,900,600.0,false,600.0
02-0040a,1,"IC THT linear Spannungsregler TL317CLP/LM317LZ MZ-Transistor-2 Werkzeug W047 5,5mm",Bauteil schneiden,59734,1800,3600,0,900,84.0,false,84.0
02-0063-00509,1,uC THT programmiert PIC 16F57C-04/P FW00509 TEO digital Hybrid,uC THT programmieren,46634,21,1260,883,0,0.0,false,883.0
02-0063-00515,1,uC THT programmiert PIC 16F57C-04/P FW00515 TEO digital,uC THT programmieren,44674,42,2520,1473,0,0.0,false,1473.0
02-0063-00515,1,uC THT programmiert PIC 16F57C-04/P FW00515 TEO digital,uC THT programmieren,46635,51,3060,3449,0,0.0,false,3449.0
02-0089a,1,"N-MOSFET THT IRF840A gebogen, geschnitten MZ-TO220-Typ01",02-0089a,47464,1000,1000,3313,600,0.0,false,3313.0
02-0089a,1,"N-MOSFET THT IRF840A gebogen, geschnitten MZ-TO220-Typ01",02-0089a,47878,1000,1000,950,600,0.0,false,950.0
02-0089a,1,"N-MOSFET THT IRF840A gebogen, geschnitten MZ-TO220-Typ01",02-0089a,48910,1000,1000,18,600,0.0,false,18.0
02-0089a,1,"N-MOSFET THT IRF840A gebogen, geschnitten MZ-TO220-Typ01",02-0089a,49893,1000,1000,24,600,0.0,false,24.0
02-0089a,1,"N-MOSFET THT IRF840A gebogen, geschnitten MZ-TO220-Typ01",02-0089a,51011,50,50,140,600,0.0,false,140.0
02-0089a,1,"N-MOSFET THT IRF840A gebogen, geschnitten MZ-TO220-Typ01",02-0089a,51012,900,900,1564,600,0.0,false,1564.0
02-0089a,1,"N-MOSFET THT IRF840A gebogen, geschnitten MZ-TO220-Typ01",02-0089a,51013,1000,1000,2450,600,0.0,false,2450.0
02-0089a,1,"N-MOSFET THT IRF840A gebogen, geschnitten MZ-TO220-Typ01",02-0089a,52306,1000,1000,1718,600,0.0,false,1718.0
02-0089a,1,"N-MOSFET THT IRF840A gebogen, geschnitten MZ-TO220-Typ01",02-0089a,53351,1000,1000,1444,600,0.0,false,1444.0
02-0089a,1,"N-MOSFET THT IRF840A gebogen, geschnitten MZ-TO220-Typ01",02-0089a,54290,500,500,718,600,0.0,false,718.0
02-0089a,1,"N-MOSFET THT IRF840A gebogen, geschnitten MZ-TO220-Typ01",02-0089a,54291,1000,1000,1538,600,0.0,false,1538.0
02-0089a,1,"N-MOSFET THT IRF840A gebogen, geschnitten MZ-TO220-Typ01",02-0089a,55868,950,950,1061,600,0.0,false,1061.0
02-0089a,1,"N-MOSFET THT IRF840A gebogen, geschnitten MZ-TO220-Typ01",02-0089a,57031,1000,1000,1374,600,0.0,false,1374.0
02-0089a,1,"N-MOSFET THT IRF840A gebogen, geschnitten MZ-TO220-Typ01",02-0089a,57783,1000,1000,1071,600,0.0,false,1071.0
